,Clase de la via,Particula de la via,Nombre de la via,Codigo de vía,Distritos atravesados,Literal completo del vial 
2193,AVENIDA                 ,DE    ,ALFONSO PEÑA BOEUF                              ,26960,20.0,AVENIDA DE ALFONSO PEÑA BOEUF                                  
2194,CALLE                   ,DE    ,ALFONSO RODRIGUEZ CASTELAO                      ,26990,8.0,CALLE DE ALFONSO RODRÍGUEZ CASTELAO                            
2195,CALLE                   ,DE    ,ALFONSO RODRIGUEZ SANTAMARIA                    ,27010,5.0,CALLE DE ALFONSO RODRÍGUEZ SANTAMARÍA                          
2196,CALLE                   ,DE    ,ALFONSO VI                                      ,27200,1.0,CALLE DE ALFONSO VI                                            
2197,CALLE                   ,DE    ,ALFONSO X                                       ,27300,7.0,CALLE DE ALFONSO X                                             
2198,CALLE                   ,DE    ,ALFONSO XI                                      ,27400,3.0,CALLE DE ALFONSO XI                                            
2199,CALLE                   ,DE    ,ALFONSO XII                                     ,27500,3.0,CALLE DE ALFONSO XII                                           
2200,CALLE                   ,DE    ,ALFONSO XIII                                    ,27600,13.0,CALLE DE ALFONSO XIII                                          
2201,AVENIDA                 ,DE    ,ALFONSO XIII                                    ,27700,5.0,AVENIDA DE ALFONSO XIII                                        
2202,CALLE                   ,DE    ,ALFREDO ALEIX                                   ,27800,11.0,CALLE DE ALFREDO ALEIX                                         
2203,TRAVESIA                ,DE    ,ALFREDO ALEIX                                   ,27900,11.0,TRAVESÍA DE ALFREDO ALEIX                                      
2204,CALLE                   ,DE    ,ALFREDO CASTRO CAMBA                            ,28000,13.0,CALLE DE ALFREDO CASTRO CAMBA                                  
2205,PLAZA                   ,DE    ,ALFREDO MAHOU                                   ,28025,4.0,PLAZA DE ALFREDO MAHOU                                         
2206,CALLE                   ,DE    ,ALFREDO MARQUERIE                               ,28050,8.0,CALLE DE ALFREDO MARQUERÍE                                     
2207,CALLE                   ,DE    ,ALGABA                                          ,28100,11.0,CALLE DE ALGABA                                                
2208,CALLE                   ,DE    ,JOSE RIZAL                                      ,28150,16.0,CALLE DE JOSÉ RIZAL                                            
2209,CALLE                   ,DEL   ,ALGARROBO                                       ,28360,8.0,CALLE DEL ALGARROBO                                            
2210,CALLE                   ,DE    ,ALGECIRAS                                       ,28400,1.0,CALLE DE ALGECIRAS                                             
2211,CALLE                   ,DE    ,ALGEMESI                                        ,28500,21.0,CALLE DE ALGEMESÍ                                              
2212,TRAVESIA                ,DE    ,ALGEMESI                                        ,28600,21.0,TRAVESÍA DE ALGEMESÍ                                           
2213,CALLE                   ,DE    ,ALGENIB                                         ,28650,9.0,CALLE DE ALGENIB                                               
2214,CALLE                   ,DE    ,ALGETE                                          ,28700,2.0,CALLE DE ALGETE                                                
2215,CALLE                   ,DEL   ,ALGODON                                         ,28800,20.0,CALLE DEL ALGODÓN                                              
2216,CALLE                   ,DE LOS,ALGODONALES                                     ,28900,6.0,CALLE DE LOS ALGODONALES                                       
2217,CALLE                   ,DE    ,ALGODRE                                         ,29000,11.0,CALLE DE ALGODRE                                               
2218,CALLE                   ,DE    ,ALGORTA                                         ,29300,11.0,CALLE DE ALGORTA                                               
2219,CALLEJON                ,DEL   ,ALGUACIL                                        ,29500,13.0,CALLEJÓN DEL ALGUACIL                                          
2220,CALLE                   ,DE LA ,ALHAMBRA                                        ,29650,10.0,CALLE DE LA ALHAMBRA                                           
2221,AVENIDA                 ,DE LOS,ALHELIES                                        ,29800,5.0,AVENIDA DE LOS ALHELÍES                                        
2222,CALLE                   ,DE LA ,ALHONDIGA                                       ,29830,21.0,CALLE DE LA ALHÓNDIGA                                          
2223,CALLE                   ,DE    ,ALIAGA                                          ,29850,20.0,CALLE DE ALIAGA                                                
2224,CALLE                   ,DE    ,ALICANTE                                        ,29900,2.0,CALLE DE ALICANTE                                              
2225,CALLE                   ,DE    ,ALICIA BAENA                                    ,30000,8.0,CALLE DE ALICIA BAENA                                          
2226,CALLE                   ,DEL   ,ALIGUSTRE                                       ,30200,6.0,CALLE DEL ALIGUSTRE                                            
2227,CALLE                   ,DE    ,ALISEDA                                         ,30300,11.0,CALLE DE ALISEDA                                               
2228,CALLE                   ,DE LOS,ALISIOS                                         ,30350,21.0,CALLE DE LOS ALISIOS                                           
2229,CALLE                   ,DE    ,ALJARAFE                                        ,30400,13.0,CALLE DE ALJARAFE                                              
2230,CALLE                   ,DE    ,ALLARIZ                                         ,30600,11.0,CALLE DE ALLARIZ                                               
2231,CALLE                   ,DE    ,ALLENDE                                         ,30700,10.0,CALLE DE ALLENDE                                               
2232,CALLE                   ,DE    ,ALLENDESALAZAR                                  ,30800,15.0,CALLE DE ALLENDESALAZAR                                        
2233,PLAZA                   ,DE    ,ALLOZ                                           ,31000,11.0,PLAZA DE ALLOZ                                                 
2234,CALLE                   ,DE    ,ALMADEN                                         ,31300,1.0,CALLE DE ALMADÉN                                               
2235,CALLE                   ,DE    ,ALMAGRO                                         ,31400,7.0,CALLE DE ALMAGRO                                               
2236,CALLE                   ,DEL   ,ALMANAQUE                                       ,31500,20.0,CALLE DEL ALMANAQUE                                            
2237,CALLE                   ,DE    ,ALMANSA                                         ,31600,6.0,CALLE DE ALMANSA                                               
2238,CALLE                   ,DEL   ,ALMANZORA                                       ,31700,9.0,CALLE DEL ALMANZORA                                            
2239,CALLE                   ,DE    ,ALMARZA                                         ,31750,16.0,CALLE DE ALMARZA                                               
2240,CALLE                   ,DE    ,ALMAZAN                                         ,31800,10.0,CALLE DE ALMAZÁN                                               
2241,CALLE                   ,DE LA ,ALMAZARA                                        ,31900,20.0,CALLE DE LA ALMAZARA                                           
2242,CALLE                   ,DE    ,ALMEDINA                                        ,32000,11.0,CALLE DE ALMEDINA                                              
2243,CALLE                   ,DE LAS,ALMENAS                                         ,32200,8.0,CALLE DE LAS ALMENAS                                           
2244,CALLE                   ,DE    ,ALMENDRALEJO                                    ,32300,11.0,CALLE DE ALMENDRALEJO                                          
2245,CALLE                   ,DE LOS,ALMENDRALES                                     ,32500,12.0,CALLE DE LOS ALMENDRALES                                       
2246,CALLE                   ,DEL   ,ALMENDRO                                        ,32600,1.0,CALLE DEL ALMENDRO                                             
2247,TRAVESIA                ,DEL   ,ALMENDRO                                        ,32800,1.0,TRAVESÍA DEL ALMENDRO                                          
2248,CALLE                   ,DE    ,ALMERIA                                         ,32900,4.0,CALLE DE ALMERÍA                                               
2249,CALLE                   ,DEL   ,ALMIRANTE                                       ,33000,1.0,CALLE DEL ALMIRANTE                                            
2250,CALLE                   ,DEL   ,ARQUITECTO SANCHEZ ARCAS                        ,33025,9.0,CALLE DEL ARQUITECTO SÁNCHEZ ARCAS                             
2251,CALLE                   ,DEL   ,ALMIRANTE REQUESENS                             ,33100,10.0,CALLE DEL ALMIRANTE REQUESENS                                  
2252,PLAZA                   ,DE    ,ALMODOVAR                                       ,33300,11.0,PLAZA DE ALMODÓVAR                                             
2253,CALLE                   ,DE    ,ALMOGIA                                         ,33350,13.0,CALLE DE ALMOGÍA                                               
2254,CALLE                   ,DE    ,ALMONACID                                       ,33500,13.0,CALLE DE ALMONACID                                             
2255,CALLE                   ,DE    ,ALMORADI                                        ,33600,11.0,CALLE DE ALMORADÍ                                              
2256,CALLE                   ,DE    ,ALMOROX                                         ,33700,9.0,CALLE DE ALMOROX                                               
2257,CALLE                   ,DE LAS,ALMORTAS                                        ,33800,6.0,CALLE DE LAS ALMORTAS                                          
2258,CALLE                   ,DE LA ,ALMUDENA                                        ,34100,1.0,CALLE DE LA ALMUDENA                                           
2259,PLAZA                   ,DE    ,LA ALMUNIA                                      ,34200,10.0,PLAZA DE LA ALMUNIA                                            
2260,PLAZA                   ,DE    ,ALMUÑECAR                                       ,34300,9.0,PLAZA DE ALMUÑÉCAR                                             
2261,CALLE                   ,DE    ,ALMURADIEL                                      ,34400,13.0,CALLE DE ALMURADIEL                                            
2262,CALLE                   ,DE LA ,ALONDRA                                         ,34500,11.0,CALLE DE LA ALONDRA                                            
2263,CALLE                   ,DE    ,ALONSO DEL BARCO                                ,34600,2.0,CALLE DE ALONSO DEL BARCO                                      
2264,CALLE                   ,DE    ,ALONSO CANO                                     ,34700,7.0,CALLE DE ALONSO CANO                                           
2265,CALLE                   ,DE    ,ALONSO CARBONELL                                ,34800,2.0,CALLE DE ALONSO CARBONELL                                      
2266,PASAJE                  ,DE    ,ALONSO CARBONELL                                ,34850,2.0,PASAJE DE ALONSO CARBONELL                                     
2267,CALLE                   ,DE    ,ALONSO CASTRILLO                                ,35000,6.0,CALLE DE ALONSO CASTRILLO                                      
2268,CALLE                   ,DE    ,ALONSO FERNANDEZ                                ,35100,10.0,CALLE DE ALONSO FERNÁNDEZ                                      
