,Codigo de via,Clase de la via,Particula de la via,Nombre de la via,Numero inicial del tramo,Numero final del tramo,Codigo postal
9675,310500,%CALLE%,DE    ,%FRANCISCO VILLAESPESA%,2,14,28017
9676,310500,%CALLE%,DE    ,%FRANCISCO VILLAESPESA%,16,9998,28017
9677,310600,%CALLE%,DE    ,%FRANCISCO VITORIA%,1,9999,28007
9678,310600,%CALLE%,DE    ,%FRANCISCO VITORIA%,2,9998,28007
9679,310700,%CALLE%,DE    ,%FRANCISCO VIVANCOS%,1,9999,28002
9680,310700,%CALLE%,DE    ,%FRANCISCO VIVANCOS%,2,9998,28002
9681,310800,%CALLE%,DE    ,%FRANCISCO ZEA%,1,9999,28028
9682,310800,%CALLE%,DE    ,%FRANCISCO ZEA%,2,9998,28028
9683,310900,%CALLE%,DE    ,%FRANCO%,1,9999,28002
9684,310900,%CALLE%,DE    ,%FRANCO%,2,9998,28002
9685,311000,%CALLE%,DEL   ,%FRANCOLIN%,1,9999,28025
9686,311000,%CALLE%,DEL   ,%FRANCOLIN%,2,9998,28025
9687,311100,%CALLE%,DE    ,%FRANCOS RODRIGUEZ%,1,15,28039
9688,311100,%CALLE%,DE    ,%FRANCOS RODRIGUEZ%,17,59,28039
9689,311100,%CALLE%,DE    ,%FRANCOS RODRIGUEZ%,61,67,28039
9690,311100,%CALLE%,DE    ,%FRANCOS RODRIGUEZ%,69,9999,28039
9691,311100,%CALLE%,DE    ,%FRANCOS RODRIGUEZ%,2,14,28039
9692,311100,%CALLE%,DE    ,%FRANCOS RODRIGUEZ%,16,98,28039
9693,311100,%CALLE%,DE    ,%FRANCOS RODRIGUEZ%,100,9998,28039
9694,311200,%CALLE%,DE    ,%FRASCUELO%,1,9999,28043
9695,311200,%CALLE%,DE    ,%FRASCUELO%,2,9998,28043
9696,311500,%CALLE%,DE    ,%FRAY BERNARDINO SAHAGUN%,1,9999,28036
9697,311500,%CALLE%,DE    ,%FRAY BERNARDINO SAHAGUN%,2,9998,28036
9698,311600,%CALLE%,DE    ,%FRAY CEFERINO GONZALEZ%,1,9999,28005
9699,311600,%CALLE%,DE    ,%FRAY CEFERINO GONZALEZ%,2,9998,28005
9700,311700,%CALLE%,DE    ,%FRAY JOSE CERDEIRI�A%,1,51,28024
9701,311700,%CALLE%,DE    ,%FRAY JOSE CERDEIRI�A%,53,9999,28024
9702,311700,%CALLE%,DE    ,%FRAY JOSE CERDEIRI�A%,2,9998,28024
9703,311800,%CALLE%,DE    ,%FRAY JUAN GIL%,1,9999,28002
9704,311800,%CALLE%,DE    ,%FRAY JUAN GIL%,2,9998,28002
9705,311850,%CALLE%,DE    ,%FRAY JUNIPERO SERRA%,1,25,28039
9706,311850,%CALLE%,DE    ,%FRAY JUNIPERO SERRA%,27,9999,28039
9707,311850,%CALLE%,DE    ,%FRAY JUNIPERO SERRA%,2,16,28039
9708,311850,%CALLE%,DE    ,%FRAY JUNIPERO SERRA%,18,9998,28039
9709,311900,%CALLE%,DE    ,%FRAY LUIS DE LEON%,1,9999,28012
9710,311900,%CALLE%,DE    ,%FRAY LUIS DE LEON%,2,9998,28012
9711,312100,%CALLE%,DE LA ,%FRESA%,1,9999,28012
9712,312100,%CALLE%,DE LA ,%FRESA%,2,9998,28012
9713,312150,%CALLE%,DE    ,%FRESNEDILLAS%,1,9999,28035
9714,312150,%CALLE%,DE    ,%FRESNEDILLAS%,2,10,28035
