Codigo de via;Clase de la via;Particula de la via;Nombre de la via;Tipo de tramo ;Nombre de la aproximacion;Numero inicial del tramo;Calificador del numero inicial del tramo;Numero final del tramo;Calificador del numero final del tramo;Codigo postal;Seccion de carteria
793;CALLE                   ;DE    ;HUESA                                           ;par  ;NUM;2;  ;9998;  ;28053;N/D
794;CALLE                   ;DE    ;CAMPILLO DE ARENAS                              ;impar;NUM;1;  ;9999;  ;28053;N/D
794;CALLE                   ;DE    ;CAMPILLO DE ARENAS                              ;par  ;NUM;2;  ;9998;  ;28053;N/D
795;CALLE                   ;DE    ;IBROS                                           ;impar;NUM;1;  ;9999;  ;28053;N/D
795;CALLE                   ;DE    ;IBROS                                           ;par  ;NUM;2;  ;9998;  ;28053;N/D
796;CALLE                   ;DE    ;GUARROMAN                                       ;impar;NUM;1;  ;9999;  ;28053;N/D
796;CALLE                   ;DE    ;GUARROMAN                                       ;par  ;NUM;2;  ;9998;  ;28053;N/D
797;CALLE                   ;DE    ;SABIOTE                                         ;impar;NUM;1;  ;9999;  ;28053;N/D
797;CALLE                   ;DE    ;SABIOTE                                         ;par  ;NUM;2;  ;9998;  ;28053;N/D
798;CALLE                   ;DEL   ;RIO SAN LORENZO                                 ;impar;NUM;1;  ;9;  ;28018;N/D
798;CALLE                   ;DEL   ;RIO SAN LORENZO                                 ;impar;NUM;11;  ;9999;  ;28018;N/D
798;CALLE                   ;DEL   ;RIO SAN LORENZO                                 ;par  ;NUM;2;  ;8;  ;28018;N/D
798;CALLE                   ;DEL   ;RIO SAN LORENZO                                 ;par  ;NUM;10;  ;9998;  ;28018;N/D
799;CALLE                   ;DEL   ;RIO BRAVO                                       ;impar;NUM;1;  ;9999;  ;28018;N/D
799;CALLE                   ;DEL   ;RIO BRAVO                                       ;par  ;NUM;2;  ;9998;  ;28018;N/D
800;CALLE                   ;DE    ;ABANTOS                                         ;impar;NUM;1;  ;9999;  ;28002;N/D
800;CALLE                   ;DE    ;ABANTOS                                         ;par  ;NUM;2;  ;9998;  ;28002;N/D
801;CALLE                   ;DEL   ;RIO DE LA PLATA                                 ;impar;NUM;1;  ;9999;  ;28018;N/D
801;CALLE                   ;DEL   ;RIO DE LA PLATA                                 ;par  ;NUM;2;  ;9998;  ;28018;N/D
802;CALLE                   ;DEL   ;RIO SAN PEDRO                                   ;impar;NUM;1;  ;9999;  ;28018;N/D
802;CALLE                   ;DEL   ;RIO SAN PEDRO                                   ;par  ;NUM;2;  ;9998;  ;28018;N/D
803;CALLE                   ;DEL   ;RIO ARAUCA                                      ;impar;NUM;1;  ;9999;  ;28018;N/D
803;CALLE                   ;DEL   ;RIO ARAUCA                                      ;par  ;NUM;2;  ;9998;  ;28018;N/D
804;CALLE                   ;DEL   ;RIO NEGRO                                       ;impar;NUM;1;  ;9999;  ;28018;N/D
804;CALLE                   ;DEL   ;RIO NEGRO                                       ;par  ;NUM;2;  ;9998;  ;28018;N/D
805;CALLE                   ;DEL   ;RIO MAGDALENA                                   ;impar;NUM;1;  ;9999;  ;28018;N/D
805;CALLE                   ;DEL   ;RIO MAGDALENA                                   ;par  ;NUM;2;  ;9998;  ;28018;N/D
806;CALLE                   ;DEL   ;RIO GRANDE                                      ;impar;NUM;1;  ;9999;  ;28038;N/D
806;CALLE                   ;DEL   ;RIO GRANDE                                      ;par  ;NUM;2;  ;9998;  ;28038;N/D
807;CALLE                   ;DEL   ;RIO SALADO                                      ;impar;NUM;1;  ;9999;  ;28018;N/D
807;CALLE                   ;DEL   ;RIO SALADO                                      ;par  ;NUM;2;  ;9998;  ;28018;N/D
808;CALLE                   ;DEL   ;RIO IGUAZU                                      ;impar;NUM;1;  ;9999;  ;28018;N/D
808;CALLE                   ;DEL   ;RIO IGUAZU                                      ;par  ;NUM;2;  ;9998;  ;28018;N/D
809;CALLE                   ;DEL   ;RIO PARANA                                      ;impar;NUM;1;  ;9999;  ;28018;N/D
809;CALLE                   ;DEL   ;RIO PARANA                                      ;par  ;NUM;2;  ;9998;  ;28018;N/D
810;CALLE                   ;DEL   ;RIO ORINOCO                                     ;impar;NUM;1;  ;9999;  ;28018;N/D
810;CALLE                   ;DEL   ;RIO ORINOCO                                     ;par  ;NUM;2;  ;9998;  ;28018;N/D
811;CALLE                   ;DEL   ;RIO URUGUAY                                     ;impar;NUM;1;  ;9999;  ;28018;N/D
811;CALLE                   ;DEL   ;RIO URUGUAY                                     ;par  ;NUM;2;  ;9998;  ;28018;N/D
812;CALLE                   ;DE    ;MANUEL BADIA                                    ;impar;NUM;1;  ;9999;  ;28018;N/D
812;CALLE                   ;DE    ;MANUEL BADIA                                    ;par  ;NUM;2;  ;9998;  ;28018;N/D
813;CALLE                   ;DEL   ;RIO CORRIENTES                                  ;impar;NUM;1;  ;9999;  ;28018;N/D
